id	username	screenname	lastname	firstname	party	country	membership
47151012	UweFe	Uwe Feiler	Feiler	Uwe	CDU	DE	MdB
160906608	Axel_Fischer	Axel Fischer	Fischer	Axel	CDU	DE	MdB
1181598578508214272	thorsten_frei	Thorsten Frei	Frei	Thorsten	CDU	DE	MdB
66750542	fuchtel	Hans-Joachim Fuchtel	Fuchtel	Hans-Joachim	CDU	DE	MdB
51483238	thomasgebhart	Thomas Gebhart MdB	Gebhart	Thomas	CDU	DE	MdB
1125751445205262336	gitta_connemann	Gitta Connemann	Gonnemann	Gitta	CDU	DE	MdB
94363834	groehe	Hermann Gröhe	Gröhe	Hermann	CDU	DE	MdB
574424501	MGrosseBroemer	M. Grosse-Brömer	Grosse-Brömer	Michael	CDU	DE	MdB
796691290016583680	GruebelMdb	Markus Grübel MdB	Grübel	Markus	CDU	DE	MdB
779601750789656576	FGuentzler	Fritz Güntzler	Güntzler	Fritz	CDU	DE	MdB
58429842	olavgutting	Olav Gutting	Gutting	Olav	CDU	DE	MdB
1601699642	ChristianHaase6	Christian Haase	Haase	Christian	CDU	DE	MdB
38467606	juergenhardt	Jürgen Hardt MdB	Hardt	Jürgen	CDU	DE	MdB
1158585210	MatthiasHauer	Matthias Hauer	Hauer	Matthias	CDU	DE	MdB
1370491088	MarkHauptmann	Mark Hauptmann	Hauptmann	Mark	CDU	DE	MdB
154064825	MatthiasHeider	Matthias Heider	Heider	Matthias	CDU	DE	MdB
974367631	MechthildHeil	Mechthild Heil	Heil	Mechthild	CDU	DE	MdB
56806603	ThomasHeilmann	Thomas Heilmann	Heilmann	Thomas	CDU	DE	MdB
43959185	FrankHeinrich	Frank Heinrich	Heinrich	Frank	CDU	DE	MdB
44608858	MarcHenrichmann	Marc Henrichmann	Henrichmann	Marc	CDU	DE	MdB
37642893	ChristianHirte	Christian Hirte	Hirte	Christian	CDU	DE	MdB
1513671236	HHirte	Heribert Hirte	Hirte	Heribert	CDU	DE	MdB
37105136	tj_tweets	Thomas Jarzombek	Jarzombek	Thomas	CDU	DE	MdB
23296367	Ingmar_Jung	Ingmar Jung	Jung	Ingmar	CDU	DE	MdB
2521976694	AnjaKarliczek	Anja Karliczek	Karliczek	Anja	CDU	DE	MdB
3188225915	KartesMdB	Torbjörn Kartes	Kartes	Torbjörn	CDU	DE	MdB
51752254	StefanKaufmann	Stefan Kaufmann	Kaufmann	Stepfan	CDU	DE	MdB
2405039875	RonjaKemmer	Ronja Kemmer	Kemmer	Ronja	CDU	DE	MdB
42698498	RKiesewetter	Roderich Kiesewetter	Kiesewetter	Roderich	CDU	DE	MdB
33043294	VolkmarKlein	Volkmar Klein	Klein	Volkmar	CDU	DE	MdB
928974816220254208	axel_knoerig	Axel Knoerig	Knoerig	Axel	CDU	DE	MdB
146376562	JensKoeppen	Jens Koeppen	Koeppen	Jens	CDU	DE	MdB
2664174617	KoobMar	Markus Koob	Koob	Markus	CDU	DE	MdB
392312829	guenterkrings	Günter Krings	Krings	Günter	CDU	DE	MdB
20916357	RuedigerKruse	Rüdiger Kruse	Kruse	Rüdiger	CDU	DE	MdB
1906911697	Dr_Roy_Kuehne	Dr. Roy Kühne	Kühne	Roy	CDU	DE	MdB
467381196	KLeikert	Katja Leikert	Leikert	Katja	CDU	DE	MdB
143351769	NikolasLoebel	Nikolas Löbel	Löbel	Nikolas	CDU	DE	MdB
22908417	JM_Luczak	Dr. Jan-Marco Luczak	Luczak	Jan-Marco	CDU	DE	MdB
1095023450790547457	MaagKarin	Karin Maag	Maag	Karin	CDU	DE	MdB
3852561082	YvonneMagwas	Yvonne Magwas	Magwas	Yvonne	CDU	DE	MdB
1095781218	ManderlaGisela	Gisela Manderla	Manderla	Gisela	CDU	DE	MdB
23447001	AMattfeldt	AMattfeldt	Mattfeldt	Andreas	CDU	DE	MdB
34214048	meister_schafft	Dr. Michael Meister	Meister	Michael	CDU	DE	MdB
995653004	JanMetzler	Jan Metzler	Metzler	Jan	CDU	DE	MdB
1180102389275205632	MdBMonstadt	Dietrich Monstadt	Monstadt	Dietrich	CDU	DE	MdB
1099159964	KarstenMoering	Karsten Möring	Möring	Karsten	CDU	DE	MdB
1135510177292197888	ElisabethMotsc1	Elisabeth Motschmann MdB	Motschmann	Elisabeth	CDU	DE	MdB
801803127762669568	mueller_sepp	Sepp Müller	Müller	Sepp	CDU	DE	MdB
49450039	DrAndreasNick	Dr. Andreas Nick	Nick	Andreas	CDU	DE	MdB
906847944	WilfriedOellers	Wilfried Oellers	Oellers	Wilfried	CDU	DE	MdB
28089973	josefoster	Josef Oster	Oster	Josef	CDU	DE	MdB
1082464339	SylviaPantel	Sylvia Pantel, MdB	Pantel	Sylvia	CDU	DE	MdB
1159072277746593792	MPatzeltCDU	Martin Patzelt	Patzelt	Martin	CDU	DE	MdB
1052524172717375488	_ThomasRachel	Thomas Rachel	Rachel	Thomas	CDU	DE	MdB
1040160799208161280	n_roettgen	Norbert Röttgen	Röttgen	Norbert	CDU	DE	MdB
963904327	StefanRouenhoff	Stefan Rouenhoff	Rouenhoff	Stefan	CDU	DE	MdB
33071479	Erwin_Rueddel	Erwin Rüddel	Rüddel	Erwin	CDU	DE	MdB
874474169106395136	SchaeferCDU	Anita Schäfer	Schäfer	Anita	CDU	DE	MdB
728990858	JanaSchimke	Jana Schimke	Schimke	Jana	CDU	DE	MdB
39938182	TSchipanski	Tankred Schipanski	Schipanski	Tankred	CDU	DE	MdB
368334555	PSchnieder	Patrick Schnieder	Schnieder	Patrick	CDU	DE	MdB
41840905	NadineSchoen	Nadine Schön	Schön	Nadine	CDU	DE	MdB
162398888	felixschreiner	Felix Schreiner	Schreiner	Felix	CDU	DE	MdB
409203792	UweSchummer	Uwe Schummer	Schummer	Uwe	CDU	DE	MdB
395912134	armin_schuster	Armin Schuster	Schuster	Armin	CDU	DE	MdB
