	tweet_id	text	user_id	created_at	party	valence
584200	1180547595011284993	„Bauern kriegen einiges ab. Denn wohin sich die deutsche Landwirtschaft entwickelt, passt nicht recht in das romantische Bild, das viele von ihr haben“ (@MBauchmueller, „Erntedank“, 2017). — Ein Danke vom publizistischen Spielfeldrand auch von mir 🌾🌽🐄🐖https://t.co/JtrrrR9hRz	21144568	2019-10-05 18:17:34	FDP	-3.64
598578	1060885953374502913	Ist das vielleicht die romantische Nostalgie von #aufstehen? https://t.co/y1eETFLw1n	17922403	2018-11-09 13:24:56	Grüne	-0.3
614502	995250335928242176	„Wir sollten dafür sorgen, dass sich die #Briten mit romantischem Wehmut an ihre Zeit in der #EU erinnern - auf dass sie noch zu meinen Lebzeiten zurückkehren.“ @c_lindner #bpt18 @FDP | Mit @johannesvogel @nicolabeerfdp @MarcoBuschmann @MAStrackZi @KatjaSuding @ch_dammermann https://t.co/AkSKcnLlBp	15630931	2018-05-12 10:32:25	FDP	0.58
640226	1199306929090285569	Wenn man jahrelang nix tut , #Vertragsverletzungsverfahren der #EU läuft, die #Bauern gegen einen demonstrieren , dann kommt dieser romantische  Populismus dabei raus. https://t.co/Zg7696nrrG	1425265488	2019-11-26 12:40:28	Grüne	-0.3
653670	1063754895411593217	SPD hadert wieder mal mit sich und mit #HartzIV. Das #Bürgergeld setzt falsche Anreize und gefährdet unser Ziel der Vollbeschäftigung. Die Menschen wollen Arbeit und keine Alimente. Von uns gibt es keine Zustimmung für sozialromantische Experimente.	16361044	2018-11-17 11:25:05	CDU	-0.55
656334	1004891831912370176	So romantisch kann eine Flugzeugfabrik liegen… https://t.co/G8ydd62KvY	37105136	2018-06-08 01:04:17	CDU	1.31
665441	750993297217294336	Eine schöne, romantische Geschichte kurz vor der Sommerpause. Toll dass sowas jetzt auch in der @CSU möglich ist! https://t.co/ErUhBLQvhx	3577737256	2016-07-07 10:02:09	SPD	0.58
686111	751012789234311169	Eine schöne, romantische Geschichte kurz vor der Sommerpause. Toll dass sowas jetzt auch in der @CSU möglich ist! https://t.co/ErUhBLQvhx	57293969	2016-07-07 11:19:36	SPD	0.58
711554	578278445542744064	"Wie romantisch! Nicht. #McDonalds bietet ein ""Candlelight-Dinner an: http://t.co/GNpSODiwy1 (kw)"	19257571	2015-03-18 19:34:59	SPD	1.31
761672	452866146644295680	Sind wir deutschen (wieder) romantische Wanderer über dem Nebelmeer? http://t.co/9LY8f2kG0r	20916357	2014-04-06 17:51:17	CDU	-0.3
767571	838301759126777856	Romantischer Zwischenfall in der Bahn: Männer aufgepasst, so geht Heiratsantrag https://t.co/BimKuGdJyD  (Video) https://t.co/i3D6uOFeB5	828943222432997376	2017-03-05 08:14:48	FDP	1.08
773624	416197412697681920	Im Abendrot ist sogar die Großstadt im Berufsverkehr romantisch:-) http://t.co/Lz0VgvQBPX	20986770	2013-12-26 13:22:50	LINKE	-0.3
799310	1063740551151927297	SPD hadert wieder mal mit sich und mit #HartzIV. Das #Bürgergeld setzt falsche Anreize und gefährdet unser Ziel der Vollbeschäftigung. Die Menschen wollen Arbeit und keine Alimente. Von uns gibt es keine Zustimmung für sozialromantische Experimente.	17960911	2018-11-17 10:28:05	CSU	-0.55
816123	809705164659683328	Romantisches #CandlelightDiner 😂? https://t.co/ndd2C57GQX	110385973	2016-12-16 10:22:09	CDU	-0.3
851867	971392672425488389	.@franksitta Die #Agrarpolitik im Land ist von grüner Ideologie geprägt. Man pflegt romantische Vorstellungen von ländlicher Idylle, während man auf der anderen Seite kaum Hemmungen hat, die Äcker und Fluren mit Windkraftanlagen zu industrialisieren. https://t.co/Adq7xrFNGh	28087038	2018-03-07 14:30:35	FDP	0.43
876360	936978008933576705	#5, 4, 3, 2, 1 #Gemeinsam zählten die #Halberstädter das Anleuchten des Weihnachtsbaums zur #Domweihnacht ab. Freuen wir uns in @HalberstadtInfo auf eine tolle Vorweihnachtszeit mit vielen Überraschungen mit romantischen Flair in unserer guten Stube. #halberstadtkannmehr ! https://t.co/lmy2W04t72	150372237	2017-12-02 15:19:00	CDU	1.31
